timestep,junctionid,edge1_vehicle_count,edge2_vehicle_count,edge1_waiting_vehicle_count,edge2_waiting_vehicle_count,edge1_light_state,edge2_light_state,nextswitchtime,edge1_congestion,edge2_congestion
2000,132200274,0,5,0,5,r,G,0.0,Non-Congested,Congested
2000,47217361,2,1,0,0,r,G,0.0,Non-Congested,Non-Congested
2000,cluster_181310323_5380872437,1,0,0,0,r,G,1.0,Non-Congested,Non-Congested
2000,cluster_2461783448_38980632_5243070374,11,10,11,10,y,r,0.0,Congested,Non-Congested
2000,cluster_2461880040_2461880142_8131892137,1,1,0,0,r,G,2.0,Non-Congested,Non-Congested
2000,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,0,r,G,0.0,Non-Congested,Non-Congested
2001,132200274,0,5,0,5,r,G,1.0,Non-Congested,Congested
2001,47217361,3,1,0,0,r,G,1.0,Non-Congested,Non-Congested
2001,cluster_181310323_5380872437,1,0,0,0,r,G,0.0,Non-Congested,Non-Congested
2001,cluster_2461783448_38980632_5243070374,11,10,11,10,r,G,4.0,Congested,Non-Congested
2001,cluster_2461880040_2461880142_8131892137,2,2,0,0,r,G,1.0,Non-Congested,Non-Congested
2001,cluster_2461880136_4910664147_50607912_8131882097,0,8,0,0,r,G,1.0,Non-Congested,Non-Congested
2002,132200274,0,5,0,5,r,G,0.0,Non-Congested,Congested
2002,47217361,3,0,0,0,r,G,0.0,Non-Congested,Non-Congested
2002,cluster_1420096799_47154676,1,0,0,0,r,G,0.0,Non-Congested,Non-Congested
2002,cluster_181310323_5380872437,1,0,0,0,r,y,3.0,Non-Congested,Non-Congested
2002,cluster_2455590523_389713_47212064,0,1,0,0,r,r,3.0,Non-Congested,Non-Congested
2002,cluster_2461783448_38980632_5243070374,10,10,10,10,r,G,3.0,Congested,Non-Congested
2002,cluster_2461880040_2461880142_8131892137,2,2,0,0,r,G,0.0,Non-Congested,Non-Congested
2002,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,0.0,Non-Congested,Non-Congested
2003,132200274,0,5,0,5,r,G,1.0,Non-Congested,Congested
2003,47217361,3,1,0,0,r,G,0.0,Non-Congested,Non-Congested
2003,cluster_1420096799_47154676,1,0,0,0,r,y,3.0,Non-Congested,Non-Congested
2003,cluster_181310323_5380872437,2,0,0,0,r,y,2.0,Non-Congested,Non-Congested
2003,cluster_2455590523_389713_47212064,0,1,0,0,r,r,2.0,Non-Congested,Non-Congested
2003,cluster_2461783448_38980632_5243070374,10,10,9,10,r,G,2.0,Congested,Non-Congested
2003,cluster_2461880040_2461880142_8131892137,3,3,0,0,r,y,4.0,Non-Congested,Non-Congested
2003,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,1.0,Non-Congested,Non-Congested
2004,132200274,0,5,0,5,r,G,0.0,Non-Congested,Congested
2004,47217361,3,1,0,0,r,G,0.0,Non-Congested,Non-Congested
2004,cluster_1420096799_47154676,1,0,0,0,r,y,2.0,Non-Congested,Non-Congested
2004,cluster_181310323_5380872437,2,0,0,0,r,y,1.0,Non-Congested,Non-Congested
2004,cluster_2455590523_389713_47212064,0,1,0,0,r,r,1.0,Non-Congested,Non-Congested
2004,cluster_2461783448_38980632_5243070374,10,10,8,10,r,G,1.0,Congested,Non-Congested
2004,cluster_2461880040_2461880142_8131892137,3,3,0,0,r,y,3.0,Non-Congested,Non-Congested
2004,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,0.0,Non-Congested,Non-Congested
2005,132200274,0,5,0,5,r,G,1.0,Non-Congested,Congested
2005,47217361,3,1,1,0,r,y,2.0,Non-Congested,Non-Congested
2005,cluster_1420096799_47154676,1,0,0,0,r,y,1.0,Non-Congested,Non-Congested
2005,cluster_181310323_5380872437,2,0,0,0,r,y,0.0,Non-Congested,Non-Congested
2005,cluster_2461783448_38980632_5243070374,10,10,7,10,r,G,0.0,Congested,Non-Congested
2005,cluster_2461880040_2461880142_8131892137,3,3,0,0,r,y,2.0,Non-Congested,Non-Congested
2005,cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,1.0,Non-Congested,Non-Congested
2006,132200274,0,5,0,5,r,G,0.0,Non-Congested,Congested
2006,47217361,3,1,1,0,r,y,1.0,Non-Congested,Non-Congested
2006,cluster_1420096799_47154676,1,0,0,0,r,y,0.0,Non-Congested,Non-Congested
2006,cluster_181310323_5380872437,1,0,0,0,G,r,6.0,Non-Congested,Non-Congested
2006,cluster_2461783448_38980632_5243070374,9,10,6,10,r,y,4.0,Congested,Non-Congested
2006,cluster_2461880040_2461880142_8131892137,3,3,0,0,r,y,1.0,Non-Congested,Non-Congested
2006,cluster_2461880136_4910664147_50607912_8131882097,0,10,0,0,r,G,0.0,Non-Congested,Non-Congested
2007,132200274,0,5,0,5,r,G,1.0,Non-Congested,Congested
2007,47217361,3,1,2,0,r,y,0.0,Non-Congested,Non-Congested
2007,cluster_1420096799_47154676,1,0,0,0,G,r,6.0,Non-Congested,Non-Congested
